doi_r,original,n_ours,n_mo
10.1007/s00439-011-0972-2,same (identical sets),1,1
10.1007/s00439-018-1889-9,overlap (some in common),3,2
10.1007/s00464-018-6259-0,same (identical sets),1,1
10.1007/s00520-025-09264-5,same (identical sets),1,1
10.1007/s00787-024-02385-y,same (identical sets),1,1
10.1007/s10071-019-01254-5,same (identical sets),1,1
10.1007/s10198-021-01353-6,same (identical sets),1,1
10.1007/s10484-020-09484-x,same (identical sets),1,1
10.1007/s10579-021-09528-6,same (identical sets),1,1
10.1007/s10608-024-10550-5,same (identical sets),1,1
10.1007/s10654-011-9583-4,same (identical sets),2,2
10.1007/s10654-023-01058-5,same (identical sets),1,1
10.1007/s10664-024-10562-5,same (identical sets),1,1
10.1007/s10683-020-09658-8,overlap (some in common),2,1
10.1007/s10763-023-10368-9,different (one each),1,1
10.1007/s11126-020-09742-5,same (identical sets),1,1
10.1007/s12021-021-09512-z,same (identical sets),1,1
10.1007/s12253-014-9822-6,overlap (some in common),2,3
10.1007/s12286-023-00578-4,same (identical sets),2,2
10.1007/s12671-025-02575-y,same (identical sets),1,1
10.1007/s13402-025-01071-8,same (identical sets),1,1
10.1007/s40264-014-0138-y,same (identical sets),1,1
10.1007/s40750-018-0101-8,same (identical sets),1,1
10.1007/s40881-018-0049-2,same (identical sets),1,1
10.1007/s42761-022-00145-2,overlap (some in common),1,2
10.1007/s42761-022-00151-4,same (identical sets),1,1
10.1007/s44217-024-00190-y,same (identical sets),1,1
10.1016/j.abrep.2023.100500,same (identical sets),1,1
10.1016/j.actpsy.2019.102871,same (identical sets),1,1
10.1016/j.actpsy.2023.104094,same (identical sets),1,1
10.1016/j.adolescence.2017.07.002,same (identical sets),1,1
10.1016/j.annepidem.2010.12.003,same (identical sets),3,3
10.1016/j.appet.2023.107065,overlap (some in common),1,2
10.1016/j.bbi.2022.08.016,same (identical sets),1,1
10.1016/j.bionps.2020.100014,different (one each),1,1
10.1016/j.biopsych.2009.05.007,same (identical sets),3,3
10.1016/j.biopsycho.2021.108058,same (identical sets),1,1
10.1016/j.biopsycho.2021.108097,same (identical sets),1,1
10.1016/j.biopsycho.2021.108188,same (identical sets),1,1
10.1016/j.biopsycho.2024.108955,same (identical sets),1,1
10.1016/j.bneo.2025.100118,theirs: no original DOI,1,0
10.1016/j.bpsgos.2023.08.012,same (identical sets),1,1
10.1016/j.bpsgos.2024.100332,same (identical sets),1,1
10.1016/j.brainres.2015.04.032,same (identical sets),1,1
10.1016/j.brat.2020.103799,same (identical sets),1,1
10.1016/j.chiabu.2016.12.005,same (identical sets),1,1
10.1016/j.cognition.2020.104521,overlap (some in common),1,2
10.1016/j.cognition.2022.105113,same (identical sets),1,1
10.1016/j.cognition.2023.105636,same (identical sets),1,1
10.1016/j.cortex.2012.08.008,same (identical sets),1,1
10.1016/j.cortex.2016.08.006,same (identical sets),3,3
10.1016/j.cortex.2018.05.013,same (identical sets),1,1
10.1016/j.ctim.2023.102965,same (identical sets),1,1
10.1016/j.dadm.2016.09.003,same (identical sets),1,1
10.1016/j.dcn.2020.100783,same (identical sets),1,1
10.1016/j.dcn.2020.100818,same (identical sets),1,1
10.1016/j.dib.2019.105042,same (identical sets),1,1
10.1016/j.dib.2021.107595,same (identical sets),1,1
10.1016/j.dmpk.2016.07.004,overlap (some in common),1,2
10.1016/j.eurpsy.2017.01.1954,same (identical sets),1,1
10.1016/j.heliyon.2018.e00939,overlap (some in common),1,2
10.1016/j.ijpsycho.2023.112277,same (identical sets),1,1
10.1016/j.jad.2020.07.098,different (one each),1,1
10.1016/j.jad.2025.04.023,same (identical sets),1,1
10.1016/j.jand.2013.09.023,same (identical sets),1,1
10.1016/j.jbo.2019.100270,same (identical sets),1,1
10.1016/j.jclinepi.2023.10.013,same (identical sets),1,1
10.1016/j.jecp.2019.104756,same (identical sets),1,1
10.1016/j.jmpt.2011.09.001,overlap (some in common),2,1
10.1016/j.jointm.2024.10.003,same (identical sets),1,1
10.1016/j.jpsychores.2021.110510,same (identical sets),1,1
10.1016/j.lmot.2021.101728,same (identical sets),1,1
10.1016/j.meegid.2024.105690,overlap (some in common),3,2
10.1016/j.mgene.2016.03.007,same (identical sets),2,2
10.1016/j.neuroimage.2007.04.057,overlap (some in common),2,1
10.1016/j.neuroimage.2019.116370,overlap (some in common),1,2
10.1016/j.neuroimage.2021.118304,same (identical sets),1,1
10.1016/j.neuropsychologia.2018.03.017,same (identical sets),1,1
10.1016/j.neuroscience.2021.06.032,overlap (some in common),1,3
10.1016/j.nicl.2020.102286,same (identical sets),1,1
10.1016/j.nicl.2020.102399,same (identical sets),1,1
10.1016/j.nicl.2021.102933,same (identical sets),1,1
10.1016/j.nicl.2022.102975,overlap (some in common),4,3
10.1016/j.nicl.2023.103384,same (identical sets),1,1
10.1016/j.nicl.2025.103771,same (identical sets),2,2
10.1016/j.scog.2023.100284,same (identical sets),1,1
10.1016/j.socscimed.2016.11.018,same (identical sets),1,1
10.1016/j.socscimed.2025.117798,same (identical sets),1,1
10.1016/j.tranon.2017.09.008,overlap (some in common),7,5
10.1016/j.xjmad.2024.100050,same (identical sets),1,1
10.1016/j.ymgmr.2019.100470,same (identical sets),1,1
10.1016/j.ynirp.2023.100157,same (identical sets),1,1
10.1016/j.ynirp.2023.100163,same (identical sets),1,1
10.1016/j.ynirp.2023.100170,same (identical sets),1,1
10.1016/j.ynstr.2021.100344,same (identical sets),1,1
10.1016/j.ynstr.2023.100528,same (identical sets),2,2
10.1016/j.ynstr.2025.100741,same (identical sets),1,1
10.1016/s0006-3223(98)00143-7,same (identical sets),1,1
10.1016/s0014-5793(99)00599-2,same (identical sets),1,1
10.1016/s0022-3956(96)00061-1,different (one each),1,1
10.1016/s2214-109x(16)30250-9,same (identical sets),1,1
10.1017/gheg.2017.17,same (identical sets),1,1
10.1017/s0033291700032864,same (identical sets),1,1
10.1017/s0033291707001511,same (identical sets),1,1
10.1017/s0033291713000846,same (identical sets),1,1
10.1017/s0033291718000107,same (identical sets),1,1
10.1017/s0033291720003578,overlap (some in common),1,2
10.1017/s0142716400001417,same (identical sets),1,1
10.1017/s014271641100052x,same (identical sets),1,1
10.1017/s0142716412000501,different (one each),1,1
10.1017/s0261444808005442,same (identical sets),1,1
10.1017/s0272263100010032,different (one each),1,1
10.1017/s0272263100015394,different (one each),1,1
10.1017/s0272263101003023,same (identical sets),1,1
10.1017/s0272263105050126,same (identical sets),2,2
10.1017/s0272263109990027,same (identical sets),1,1
10.1017/s0272263112000113,same (identical sets),1,1
10.1017/s0954579419000166,same (identical sets),1,1
10.1017/s0958344004001715,same (identical sets),1,1
10.1017/s109285291800144x,same (identical sets),1,1
10.1017/s1355617722000698,same (identical sets),1,1
10.1017/s1366728922000748,different (one each),1,1
10.1017/s1461145701002322,different (one each),1,1
10.1017/s1930297500003144,different (one each),1,1
10.1027/1618-3169/a000442,same (identical sets),1,1
10.1027/1618-3169/a000562,same (identical sets),2,2
10.1029/2017ea000360,same (identical sets),1,1
10.1037/0002-9432.73.1.74,same (identical sets),1,1
10.1037/0021-843x.112.2.228,same (identical sets),1,1
10.1037/0278-7393.30.2.354,same (identical sets),1,1
10.1037/0278-7393.32.4.867,same (identical sets),1,1
10.1037/0893-164x.14.4.397,same (identical sets),1,1
10.1037/a0013622,overlap (some in common),1,2
10.1037/a0018230,same (identical sets),1,1
10.1037/a0027687,same (identical sets),1,1
10.1037/a0028083,same (identical sets),1,1
10.1037/a0036840,same (identical sets),1,1
10.1037/a0037397,different (one each),1,1
10.1037/bne0000055,same (identical sets),1,1
10.1037/cns0000342,same (identical sets),1,1
10.1037/dev0000053,same (identical sets),1,1
10.1037/dev0001119,overlap (some in common),2,2
10.1037/emo0001281,same (identical sets),1,1
10.1037/emo0001339,same (identical sets),1,1
10.1037/per0000513,same (identical sets),1,1
10.1037/pspp0000115,overlap (some in common),1,2
10.1037/pst0000036,same (identical sets),1,1
10.1037/xge0000102,overlap (some in common),2,2
10.1037/xge0000125,same (identical sets),1,1
10.1037/xge0000402,same (identical sets),1,1
10.1037/xge0000451,same (identical sets),1,1
10.1037/xhp0000052,overlap (some in common),2,1
10.1037/xhp0000123,same (identical sets),1,1
10.1038/ejhg.2011.206,overlap (some in common),1,3
10.1038/mp.2015.209,different (several),1,2
10.1038/oby.2008.470,overlap (some in common),2,1
10.1038/s41380-019-0621-z,same (identical sets),2,2
10.1038/s41398-019-0380-2,same (identical sets),1,1
10.1038/s41398-021-01558-6,same (identical sets),1,1
10.1038/s41398-024-02811-4,same (identical sets),1,1
10.1038/s41398-024-02824-z,same (identical sets),1,1
10.1038/s41467-018-07642-8,same (identical sets),1,1
10.1038/s41467-024-52665-z,overlap (some in common),2,2
10.1038/s41467-025-56762-5,same (identical sets),1,1
10.1038/s41467-025-56763-4,same (identical sets),1,1
10.1038/s41525-017-0011-x,same (identical sets),1,1
10.1038/s41531-018-0064-2,same (identical sets),1,1
10.1038/s41539-024-00218-w,different (one each),1,1
10.1038/s41598-017-07404-4,overlap (some in common),6,8
10.1038/s41598-017-15226-7,overlap (some in common),3,2
10.1038/s41598-017-18950-2,different (several),1,2
10.1038/s41598-018-34098-z,same (identical sets),1,1
10.1038/s41598-020-57613-7,same (identical sets),1,1
10.1038/s41598-020-57934-7,overlap (some in common),1,2
10.1038/s41598-020-66668-5,same (identical sets),1,1
10.1038/s41598-020-67455-y,same (identical sets),1,1
10.1038/s41598-020-67721-z,same (identical sets),1,1
10.1038/s41598-021-03310-y,same (identical sets),3,3
10.1038/s41598-021-80995-1,overlap (some in common),1,2
10.1038/s41598-021-87130-0,different (one each),1,1
10.1038/s41598-021-87338-0,same (identical sets),1,1
10.1038/s41598-021-91381-2,same (identical sets),1,1
10.1038/s41598-021-91976-9,different (one each),1,1
10.1038/s41598-022-05923-3,same (identical sets),1,1
10.1038/s41598-022-06663-0,same (identical sets),1,1
10.1038/s41598-022-10647-5,different (one each),1,1
10.1038/s41598-022-18521-0,overlap (some in common),1,2
10.1038/s41598-022-24821-2,same (identical sets),1,1
10.1038/s41598-022-25538-y,same (identical sets),1,1
10.1038/s41598-023-28676-z,overlap (some in common),1,2
10.1038/s41598-023-31063-3,same (identical sets),1,1
10.1038/s41598-023-33424-4,same (identical sets),1,1
10.1038/s41598-023-48792-0,same (identical sets),1,1
10.1038/s41598-023-48874-z,same (identical sets),1,1
10.1038/s41598-024-72749-6,same (identical sets),1,1
10.1038/s41598-024-83794-6,overlap (some in common),1,2
10.1038/s41598-025-05745-z,same (identical sets),1,1
10.1038/s42003-023-04586-8,same (identical sets),1,1
10.1038/s44271-024-00128-y,same (identical sets),2,2
10.1038/tp.2013.63,same (identical sets),1,1
10.1038/tp.2015.190,same (identical sets),1,1
10.1038/tp.2015.199,same (identical sets),1,1
10.1042/bsr20171688,same (identical sets),1,1
10.1044/1092-4388(2004/026),same (identical sets),1,1
10.1044/1092-4388(2009/07-0012),same (identical sets),1,1
10.1044/1092-4388(2009/08-0195),same (identical sets),1,1
10.1044/2013_jslhr-l-13-0008,same (identical sets),1,1
10.1044/2014_ajslp-13-0098,same (identical sets),2,2
10.1044/2016_jslhr-l-15-0294,overlap (some in common),3,2
10.1044/2017_jslhr-l-16-0327,same (identical sets),1,1
10.1044/2018_aja-18-0082,same (identical sets),1,1
10.1044/2019_ajslp-19-00162,same (identical sets),1,1
10.1044/2023_jslhr-22-00694,same (identical sets),1,1
10.1044/2024_ajslp-24-00226,same (identical sets),1,1
10.1044/cicsd_28_f_98,different (one each),1,1
10.1044/jshd.4901.104,same (identical sets),1,1
10.1044/jshr.3003.295,same (identical sets),1,1
10.1044/jshr.3704.841,same (identical sets),1,1
10.1046/j.1365-2133.1996.d01-1096.x,different (one each),1,1
10.1046/j.1365-2648.1995.21050820.x,same (identical sets),1,1
10.1046/j.1365-2648.1999.01138.x,same (identical sets),1,1
10.1046/j.1365-2648.1999.01230.x,same (identical sets),1,1
10.1046/j.1365-2702.1999.00307.x,same (identical sets),1,1
10.1046/j.1467-9450.2003.00363.x,same (identical sets),1,1
10.1046/j.1469-1809.1998.6210025.x,same (identical sets),1,1
10.1055/s-0036-1597262,same (identical sets),1,1
10.1056/nejmoa051469,overlap (some in common),1,2
10.1057/9781137293626_12,same (identical sets),1,1
10.1057/s41599-025-05523-2,different (one each),1,1
10.1073/pnas.0408670102,different (one each),1,1
10.1073/pnas.0508189103,different (one each),1,1
10.1073/pnas.0914079107,same (identical sets),1,1
10.1073/pnas.1615198114,different (one each),1,1
10.1073/pnas.1704308114,same (identical sets),1,1
10.1074/jbc.c112.394403,same (identical sets),1,1
10.1080/00029157.1972.10402174,same (identical sets),2,2
10.1080/00029157.2017.1416279,same (identical sets),1,1
10.1080/00036840802112471,same (identical sets),1,1
10.1080/00220388.2011.646989,overlap (some in common),2,1
10.1080/00220388.2012.727563,same (identical sets),1,1
10.1080/00220388.2013.807501,overlap (some in common),2,1
10.1080/00220388.2018.1506574,same (identical sets),1,1
10.1080/00220388.2018.1506575,overlap (some in common),1,2
10.1080/00220388.2018.1506576,different (one each),1,1
10.1080/00220388.2018.1506578,same (identical sets),1,1
10.1080/00220388.2018.1506579,different (one each),1,1
10.1080/00220388.2018.1506580,same (identical sets),1,1
10.1080/00221309.1986.9711031,same (identical sets),1,1
10.1080/00222216.1971.11970019,same (identical sets),1,1
10.1080/00223891.1990.9674023,same (identical sets),1,1
10.1080/00223891.2013.765883,same (identical sets),1,1
10.1080/00223891.2019.1677246,same (identical sets),1,1
10.1080/00224499.2019.1669135,different (one each),1,1
10.1080/00224499.2021.1999893,overlap (some in common),1,3
10.1080/00918369.2020.1804262,same (identical sets),1,1
10.1080/01443615.2017.1351932,same (identical sets),1,1
10.1080/01688638508401262,same (identical sets),1,1
10.1080/02643290442000202,same (identical sets),1,1
10.1080/02643294.2012.706218,same (identical sets),1,1
10.1080/02699050600744194,same (identical sets),1,1
10.1080/02699931.2018.1468732,same (identical sets),1,1
10.1080/02791072.1981.10471582,same (identical sets),1,1
10.1080/02791072.2023.2278583,overlap (some in common),1,2
10.1080/02796015.1986.12085213,same (identical sets),1,1
10.1080/036107399244020,same (identical sets),1,1
10.1080/08838159209364154,same (identical sets),1,1
10.1080/08874417.2016.1153914,theirs: no original DOI,1,0
10.1080/08874417.2022.2119443,same (identical sets),1,1
10.1080/08897070902802059,same (identical sets),1,1
10.1080/08964289.2016.1232241,same (identical sets),1,1
10.1080/09084282.2012.724036,same (identical sets),1,1
10.1080/09291016.2016.1275400,same (identical sets),2,2
10.1080/09297040500473706,same (identical sets),1,1
10.1080/09638237.2017.1340601,theirs: no original DOI,1,0
10.1080/09658211.2016.1189941,same (identical sets),1,1
10.1080/09658211.2024.2412025,same (identical sets),1,1
10.1080/09669582.2014.953541,same (identical sets),1,1
10.1080/10253890.2018.1519019,same (identical sets),1,1
10.1080/10473289.2000.10464149,same (identical sets),1,1
10.1080/10503307.2019.1645369,same (identical sets),1,1
10.1080/10503307.2020.1844920,same (identical sets),1,1
10.1080/10586458.2016.1173413,different (one each),1,1
10.1080/1059924x.2016.1211575,same (identical sets),1,1
10.1080/10640260390218639,same (identical sets),1,1
10.1080/10683169408411946,same (identical sets),1,1
10.1080/10810730902873117,same (identical sets),1,1
10.1080/10826084.2016.1267222,overlap (some in common),2,3
10.1080/13548506.2020.1867317,same (identical sets),1,1
10.1080/13554790490507614,different (one each),1,1
10.1080/13554799908415478,different (several),1,2
10.1080/13803611.2021.2022316,different (one each),1,1
10.1080/14616734.2013.768790,overlap (some in common),2,1
10.1080/14616734.2016.1181096,different (one each),1,1
10.1080/14719037.2017.1295099,different (one each),1,1
10.1080/14719037.2019.1679233,same (identical sets),1,1
10.1080/14733140903031119,same (identical sets),1,1
10.1080/15402000701264005,same (identical sets),1,1
10.1080/15592294.2022.2158285,same (identical sets),1,1
10.1080/1612197x.2019.1637362,same (identical sets),1,1
10.1080/16506077909456141,same (identical sets),1,1
10.1080/17461391.2022.2152731,same (identical sets),1,1
10.1080/17470210903121655,overlap (some in common),1,2
10.1080/17470218.2016.1165264,overlap (some in common),2,1
10.1080/17470919.2015.1017114,overlap (some in common),1,2
10.1080/17524032.2024.2407647,same (identical sets),1,1
10.1080/19439342.2019.1646782,same (identical sets),1,1
10.1080/19439342.2019.1666900,same (identical sets),1,1
10.1080/19439342.2019.1666901,same (identical sets),1,1
10.1080/19439342.2019.1679860,same (identical sets),1,1
10.1080/19439342.2019.1684343,same (identical sets),1,1
10.1080/20473869.2022.2044594,different (one each),1,1
10.1080/21622965.2016.1220860,same (identical sets),1,1
10.1080/23761407.2017.1288187,same (identical sets),1,1
10.1086/694653,same (identical sets),1,1
10.1089/cap.2021.0121,same (identical sets),1,1
10.1089/cyber.2024.0136,different (one each),1,1
10.1089/gtmb.2012.0161,overlap (some in common),3,1
10.1093/abm/kaad072,same (identical sets),1,1
10.1093/bjsw/bcae011,same (identical sets),1,1
10.1093/brain/awr007,same (identical sets),1,1
10.1093/carcin/bgs218,theirs: no original DOI,1,0
10.1093/carcin/bgv130,overlap (some in common),1,2
10.1093/cercor/bhae107,same (identical sets),1,1
10.1093/cercor/bhz238,different (one each),1,1
10.1093/cje/bet075,same (identical sets),1,1
10.1093/ckj/sfz073,same (identical sets),1,1
10.1093/eep/dvaf016,same (identical sets),1,1
10.1093/emph/eoac007,same (identical sets),1,1
10.1093/fampra/cmac147,same (identical sets),1,1
10.1093/gerona/glu166,overlap (some in common),1,3
10.1093/geronj/25.4.316,same (identical sets),1,1
10.1093/geronj/30.1.73,same (identical sets),1,1
10.1093/geronj/37.6.713,same (identical sets),1,1
10.1093/geronj/48.1.s28,same (identical sets),1,1
10.1093/hcr/hqaf017,same (identical sets),1,1
10.1093/hmg/ddn340,same (identical sets),1,1
10.1093/hmg/ddp489,same (identical sets),1,1
10.1093/hmg/ddq411,same (identical sets),2,2
10.1093/hmg/ddu041,overlap (some in common),4,2
10.1093/hmg/ddz101,same (identical sets),1,1
10.1093/hropen/hoaa047,same (identical sets),1,1
10.1093/humrep/dev081,same (identical sets),1,1
10.1093/humrep/dex302,same (identical sets),1,1
10.1093/ije/dyae110,overlap (some in common),1,2
10.1093/ije/dyv127,same (identical sets),1,1
10.1093/ijl/ecp022,same (identical sets),1,1
10.1093/ijnp/pyaa081,same (identical sets),1,1
10.1093/ijnp/pyaa084,overlap (some in common),3,1
10.1093/ijnp/pyw033,same (identical sets),1,1
10.1093/jn/nxaa020,same (identical sets),1,1
10.1093/jnci/djv199,same (identical sets),1,1
10.1093/milmed/usaa245,same (identical sets),1,1
10.1093/molbev/msp314,same (identical sets),1,1
10.1093/ntr/nty218,different (one each),1,1
10.1093/oncolo/oyab021,same (identical sets),1,1
10.1093/psyrad/kkac020,same (identical sets),1,1
10.1093/rheumatology/kei008,same (identical sets),1,1
10.1093/rheumatology/ker444,different (one each),1,1
10.1093/rheumatology/keu380,same (identical sets),1,1
10.1093/scan/nsaa153,different (several),1,2
10.1093/scan/nsae088,same (identical sets),1,1
10.1093/scan/nsaf049,same (identical sets),1,1
10.1093/scan/nsr040,same (identical sets),1,1
10.1093/scan/nst102,different (one each),1,1
10.1093/schbul/sbac018,same (identical sets),1,1
10.1093/schbul/sbad161,different (one each),1,1
10.1093/schbul/sbl066,same (identical sets),1,1
10.1093/schizbullopen/sgaa009,same (identical sets),1,1
10.1093/texcom/tgab050,same (identical sets),1,1
10.1093/toxsci/kfs272,same (identical sets),1,1
10.1095/biolreprod.112.106377,same (identical sets),1,1
10.1097/00001888-197801000-00005,same (identical sets),1,1
10.1097/00006199-199205000-00005,same (identical sets),1,1
10.1097/00006199-200609000-00004,same (identical sets),1,1
10.1097/00131746-200509000-00004,same (identical sets),1,1
10.1097/brs.0000000000002280,same (identical sets),1,1
10.1097/j.pain.0000000000003174,same (identical sets),1,1
10.1097/md.0000000000011865,same (identical sets),1,1
10.1097/mpg.0000000000000880,same (identical sets),1,1
10.1097/nna.0000000000000521,same (identical sets),1,1
10.1097/opx.0b013e318188891b,same (identical sets),1,1
10.1097/ypg.0000000000000193,same (identical sets),1,1
10.1098/rsbl.2018.0499,same (identical sets),1,1
10.1098/rsbl.2019.0091,same (identical sets),1,1
10.1098/rsif.2008.0519,same (identical sets),1,1
10.1098/rsos.171127,same (identical sets),1,1
10.1098/rsos.172273,same (identical sets),2,2
10.1098/rsos.182237,same (identical sets),1,1
10.1098/rsos.190327,same (identical sets),1,1
10.1098/rsos.190808,same (identical sets),1,1
10.1098/rsos.202197,same (identical sets),1,1
10.1098/rsos.210056,same (identical sets),1,1
10.1098/rsos.220594,same (identical sets),1,1
10.1098/rsos.240087,same (identical sets),1,1
10.1098/rsos.241120,same (identical sets),1,1
10.1098/rspb.2001.1866,same (identical sets),1,1
10.1098/rspb.2009.1765,different (one each),1,1
10.1098/rspb.2012.0500,same (identical sets),1,1
10.1098/rsta.2020.0068,same (identical sets),2,2
10.1098/rstb.2021.0459,different (one each),1,1
10.1101/2023.08.16.553472,same (identical sets),1,1
10.1101/2023.10.11.23296870,same (identical sets),1,1
10.1101/lm.1896010,different (one each),1,1
10.1101/lm.2269911,same (identical sets),1,1
10.1101/lm.493707,same (identical sets),1,1
10.1101/lm.5.3.231,same (identical sets),1,1
10.1101/lm.94105,overlap (some in common),2,1
10.1108/jed-06-2019-0002,same (identical sets),1,1
10.1109/apsec.2015.51,same (identical sets),1,1
10.1109/cbms.2016.80,same (identical sets),1,1
10.1109/cbms.2017.60,same (identical sets),1,1
