id,stratum,doi_r,doi_o,A,B,has_fulltext
orig-067,original,10.1002/art.39619,,mo,ours,False
orig-068,original,10.5753/sbqs.2016.15130,,mo,ours,False
orig-069,original,10.1002/ajp.20895,,ours,mo,False
orig-070,original,10.1145/2915970.2915983,,ours,mo,False
orig-071,original,10.1177/008124630303300307,,mo,ours,False
orig-072,original,10.3758/s13423-022-02158-1,,ours,mo,False
orig-073,original,10.1371/journal.pone.0244110,,ours,mo,False
orig-074,original,10.1901/jaba.2000.33-239,,mo,ours,False
orig-075,original,10.1002/alr.21275,,ours,mo,False
orig-076,original,10.1073/pnas.1615198114,,mo,ours,False
orig-077,original,10.1017/s1366728922000748,,mo,ours,False
orig-078,original,10.1016/j.bionps.2020.100014,,mo,ours,False
orig-079,original,10.1371/journal.pone.0227629,,ours,mo,True
orig-080,original,10.1111/ejn.15512,,ours,mo,False
orig-081,original,10.1007/bf00880778,,ours,mo,False
orig-082,original,10.3389/fpsyt.2021.668152,,mo,ours,True
orig-083,original,10.3389/fnhum.2020.00230,,mo,ours,True
orig-084,original,10.1371/journal.pone.0056732,,ours,mo,False
orig-085,original,10.1093/scan/nsaa153,,ours,mo,True
orig-086,original,10.1111/cogs.12721,,ours,mo,False
orig-087,original,10.1017/s0272263100010032,,mo,ours,True
orig-088,original,10.3389/fgene.2020.00827,,mo,ours,False
orig-089,original,10.1371/journal.pone.0086462,,mo,ours,False
orig-090,original,10.1371/journal.pone.0263879,,ours,mo,False
orig-091,original,10.1038/s41598-021-91976-9,,mo,ours,False
orig-092,original,10.1167/iovs.08-2382,,ours,mo,False
orig-093,original,10.3390/ijerph19084912,,ours,mo,False
orig-094,original,10.1080/20473869.2022.2044594,,ours,mo,False
orig-095,original,10.1007/s10763-023-10368-9,,ours,mo,True
orig-096,original,10.3390/cells11203242,,ours,mo,False
orig-097,original,10.1109/compsac.2013.82,,mo,ours,False
orig-098,original,10.1038/s41598-022-10647-5,,ours,mo,True
orig-099,original,10.1007/s00426-025-02211-3,,ours,mo,True
orig-100,original,10.70923/001c.72403,,ours,mo,False
orig-101,original,10.1186/ar4504,,mo,ours,False
orig-102,original,10.1186/ar2423,,ours,mo,False
orig-103,original,10.1371/journal.pone.0332478,,mo,ours,True
orig-104,original,10.1515/cti-2022-0032,,mo,ours,False
orig-105,original,10.1001/archpsyc.1996.01830080033007,,ours,mo,False
orig-106,original,10.1002/bdr2.1773,,ours,mo,True
orig-107,original,10.1002/jae.2850,,mo,ours,False
orig-108,original,10.1002/jeab.567,,ours,mo,True
orig-109,original,10.1002/mpr.251,,ours,mo,False
orig-110,original,10.1002/mrm.29947,,ours,mo,False
orig-111,original,10.1007/s00125-017-4405-1,,mo,ours,True
orig-112,original,10.1007/s00426-021-01593-4,,mo,ours,False
orig-113,original,10.1016/j.jad.2020.07.098,,mo,ours,False
orig-114,original,10.1016/s0022-3956(96)00061-1,,mo,ours,True
orig-115,original,10.1017/s0142716412000501,,ours,mo,True
orig-116,original,10.1017/s0272263100015394,,mo,ours,False
orig-117,original,10.1017/s1930297500003144,,mo,ours,False
orig-118,original,10.1038/s41539-024-00218-w,,ours,mo,True
orig-119,original,10.1038/s41598-021-87130-0,,ours,mo,False
orig-120,original,10.1046/j.1365-2133.1996.d01-1096.x,,ours,mo,False
orig-121,original,10.1073/pnas.0508189103,,mo,ours,False
orig-122,original,10.1080/00224499.2019.1669135,,mo,ours,False
orig-123,original,10.1080/10586458.2016.1173413,,ours,mo,False
orig-124,original,10.1080/13554790490507614,,mo,ours,False
orig-125,original,10.1080/13803611.2021.2022316,,ours,mo,False
orig-126,original,10.1089/cyber.2024.0136,,mo,ours,False
orig-127,original,10.1093/cercor/bhz238,,mo,ours,True
orig-128,original,10.1093/ntr/nty218,,mo,ours,False
orig-129,original,10.1093/rheumatology/ker444,,mo,ours,False
orig-130,original,10.1093/scan/nst102,,ours,mo,False
orig-131,original,10.1093/schbul/sbad161,,ours,mo,False
orig-132,original,10.1098/rspb.2009.1765,,ours,mo,False
orig-133,original,10.1098/rstb.2021.0459,,ours,mo,False
orig-134,original,10.1101/lm.1896010,,mo,ours,False
orig-135,original,10.1111/bjdp.12216,,mo,ours,False
orig-136,original,10.1111/desc.13399,,mo,ours,True
orig-137,original,10.1111/j.1540-4781.2006.00384.x,,mo,ours,False
orig-138,original,10.1111/jabr.12029,,mo,ours,False
orig-139,original,10.1111/sjop.12816,,ours,mo,False
orig-140,original,10.1111/spsr.12479,,ours,mo,False
orig-141,original,10.1167/8.1.1,,mo,ours,False
orig-142,original,10.1177/1526924816641814,,ours,mo,False
orig-143,original,10.1177/153944928900900404,,ours,mo,False
orig-144,original,10.1177/1948550619887702,,mo,ours,False
orig-145,original,10.1186/s12881-014-0102-9,,ours,mo,False
orig-146,original,10.1186/s40359-021-00536-3,,ours,mo,True
orig-147,original,10.1207/s15327906mbr0104_1,,ours,mo,False
orig-148,original,10.1371/journal.pgen.1011192,,mo,ours,False
orig-149,original,10.1371/journal.pone.0022070,,ours,mo,True
orig-150,original,10.1371/journal.pone.0155554,,ours,mo,True
orig-151,original,10.1371/journal.pone.0194101,,mo,ours,True
orig-152,original,10.1371/journal.pone.0255484,,ours,mo,True
orig-153,original,10.1371/journal.pone.0262902,,ours,mo,False
orig-154,original,10.1523/eneuro.0332-19.2020,,ours,mo,False
orig-155,original,10.1534/g3.117.300366,,mo,ours,False
orig-156,original,10.16910/jemr.12.4.10,,mo,ours,False
orig-157,original,10.2466/pms.1968.26.2.559,,ours,mo,False
orig-158,original,10.2466/pr0.1990.66.2.407,,mo,ours,False
orig-159,original,10.2466/pr0.2002.91.3.722,,mo,ours,False
orig-160,original,10.2466/pr0.94.2.733-735,,mo,ours,False
orig-161,original,10.2466/pr0.95.3f.1059-1071,,mo,ours,False
orig-162,original,10.3109/07357907.2011.630052,,ours,mo,False
orig-163,original,10.31234/osf.io/ux8ef,,ours,mo,True
orig-164,original,10.3389/fpsyg.2016.00994,,mo,ours,False
orig-165,original,10.3389/fpsyg.2017.02362,,mo,ours,True
orig-166,original,10.3389/fpsyg.2019.01381,,ours,mo,False
orig-167,original,10.3389/fpsyg.2022.932592,,mo,ours,False
orig-168,original,10.3389/fpsyg.2024.1472489,,mo,ours,False
orig-169,original,10.5296/ijhrs.v10i3.16907,,ours,mo,False
