flora_doi_o,flora_url_r,node,n_registrations,registration_dois,registration_dates,any_withdrawn
10.1037/0278-7393.34.1.80,https://osf.io/vmz2e,vmz2e,2,"10.17605/OSF.IO/PXR93, 10.17605/OSF.IO/FSUT4","2015-07-13, 2015-07-24",False
10.1037/0278-7393.34.1.97,https://osf.io/atgp5,atgp5,3,"10.17605/OSF.IO/VDC5M, 10.17605/OSF.IO/ZHXUY, 10.17605/OSF.IO/CBWGJ","2015-07-13, 2015-07-17, 2015-07-23",False
10.1037/0278-7393.34.2.302,https://osf.io/p9thw,p9thw,2,"10.17605/OSF.IO/X2GMB, 10.17605/OSF.IO/NRA37","2015-07-13, 2015-07-23",False
10.1037/0278-7393.34.2.343,https://osf.io/sqim7,sqim7,1,10.17605/OSF.IO/3VA2J,2015-07-13,False
10.1037/0278-7393.34.2.353,https://osf.io/janu3,janu3,0,,,False
10.1037/0278-7393.34.2.369,https://osf.io/0pxro,0pxro,1,10.17605/OSF.IO/BHNKQ,2015-07-13,False
10.1037/0278-7393.34.2.399,https://osf.io/ujhlw,ujhlw,1,10.17605/OSF.IO/CHF7M,2015-07-13,False
10.1037/0278-7393.34.2.408,https://osf.io/bzdr2,bzdr2,1,10.17605/OSF.IO/BK79Y,2015-07-13,False
10.1037/0278-7393.34.2.430,https://osf.io/7mgwh,7mgwh,0,,,False
10.1037/0278-7393.34.3.439,https://osf.io/gcj7x,gcj7x,1,10.17605/OSF.IO/9P2QR,2015-07-13,False
10.1037/0278-7393.34.3.460,https://osf.io/c5pbg,c5pbg,3,"10.17605/OSF.IO/24D7B, 10.17605/OSF.IO/NX6DR, 10.17605/OSF.IO/49XEA","2015-07-15, 2015-07-16, 2015-07-23",False
10.1037/0278-7393.34.3.478,https://osf.io/4dvzb,4dvzb,2,"10.17605/OSF.IO/EP2AN, 10.17605/OSF.IO/AVY86","2015-07-13, 2015-07-23",False
10.1037/0278-7393.34.3.495,https://osf.io/ahpik,ahpik,2,"10.17605/OSF.IO/3UBV9, 10.17605/OSF.IO/397FH","2015-07-14, 2015-07-23",False
10.1037/0278-7393.34.3.514,https://osf.io/bscfe,bscfe,1,10.17605/OSF.IO/X5B6D,2015-07-17,False
10.1037/0278-7393.34.3.524,https://osf.io/k9gp6,k9gp6,2,"10.17605/OSF.IO/CA8T3, 10.17605/OSF.IO/MGHVS","2015-07-15, 2015-07-23",False
