work_id,doi,template,verdict,in_flora,fetched,chars
6906360403,10.17605/osf.io/4xcbw,,untouched,False,False,0
6962717077,10.17605/osf.io/m3ajw,Prereg Challenge,discard,False,True,7541
6906630637,10.17605/osf.io/y78nd,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,3967
6925380761,10.17605/osf.io/tyvbw,OSF-Standard Pre-Data Collection Registration,discard,False,True,502
6906660770,10.17605/osf.io/qebau,Preregistration Template from AsPredicted.org,discard,False,True,883
2779655246,10.17605/osf.io/s6fw9,,untouched,False,False,0
6925409894,10.17605/osf.io/yk8ug,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6943883744,10.17605/osf.io/fwk5d,,untouched,False,False,0
6887756420,10.17605/osf.io/w3h6g,Prereg Challenge,discard,False,True,7340
6887676686,10.17605/osf.io/p6rga,Preregistration Template from AsPredicted.org,discard,False,True,2760
6887677054,10.17605/osf.io/2sw9j,OSF-Standard Pre-Data Collection Registration,discard,False,True,147
6906406557,10.17605/osf.io/63z4g,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6887687942,10.17605/osf.io/4w2cr,Preregistration Template from AsPredicted.org,discard,False,True,3485
6963091486,10.17605/osf.io/rq6jd,OSF Preregistration,discard,False,True,7700
2913865255,10.17605/osf.io/3tguf,,untouched,False,False,0
6944247663,10.17605/osf.io/ngct4,,untouched,False,False,0
6925469149,10.17605/osf.io/zp85j,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,4554
6906670027,10.17605/osf.io/zcuhd,,untouched,False,False,0
6925157087,10.17605/osf.io/r6axc,OSF Preregistration,discard,False,True,7029
6887790656,10.17605/osf.io/nj2k9,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6962714300,10.17605/osf.io/zvd5f,,untouched,False,False,0
6962200166,10.17605/osf.io/6s4bh,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6887766210,10.17605/osf.io/umjyd,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6925102018,10.17605/osf.io/sz65y,"Pre-Registration in Social Psychology (van 't Veer & Giner-Sorolla, 2016): Pre-Registration",discard,False,True,15530
6925056172,10.17605/osf.io/6p7ah,OSF-Standard Pre-Data Collection Registration,discard,False,True,222
6962377763,10.17605/osf.io/3kmr9,,untouched,False,False,0
6925108205,10.17605/osf.io/yrjbn,,untouched,False,False,0
6963032774,10.17605/osf.io/m7yn4,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6906524696,10.17605/osf.io/fcw5z,"Pre-Registration in Social Psychology (van 't Veer & Giner-Sorolla, 2016): Pre-Registration",discard,False,True,14381
2811033879,10.17605/osf.io/kx97a,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,2476
6887701204,10.17605/osf.io/g9czs,,untouched,False,False,0
6887690682,10.17605/osf.io/g5pn7,Registered Report Protocol Preregistration,discard,False,True,512
6962780408,10.17605/osf.io/y62dh,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,1265
6925401035,10.17605/osf.io/k3sgy,,untouched,False,False,0
6944069753,10.17605/osf.io/zr8hk,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,2056
6906429414,10.17605/osf.io/yq5sp,Preregistration Template from AsPredicted.org,discard,False,True,13078
2786336911,10.17605/osf.io/6bw6x,,untouched,False,False,0
6925330220,10.17605/osf.io/nse8r,Prereg Challenge,discard,False,True,7277
6962838379,10.17605/osf.io/9k4wj,Open-Ended Registration,admit,False,True,722
6925268817,10.17605/osf.io/j8a4p,"Replication Recipe (Brandt et al., 2013): Post-Completion",admit,True,True,585
6944392195,10.17605/osf.io/hrvze,OSF-Standard Pre-Data Collection Registration,discard,False,True,482
6906446314,10.17605/osf.io/gqkxn,"Replication Recipe (Brandt et al., 2013): Post-Completion",admit,False,True,122
6925352991,10.17605/osf.io/gdzn8,OSF-Standard Pre-Data Collection Registration,discard,False,True,206
6906362838,10.17605/osf.io/8bc6x,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,4722
2782781917,10.17605/osf.io/8v3ub,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
7077884851,10.17605/osf.io/j43ws,,untouched,False,False,0
6944208569,10.17605/osf.io/w9gks,,untouched,False,False,0
6944241309,10.17605/osf.io/xsrhj,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,1481
6943980981,10.17605/osf.io/pgma6,,untouched,False,False,0
2807629358,10.17605/osf.io/a2kbq,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,6400
6887713404,10.17605/osf.io/k9za3,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
2779104187,10.17605/osf.io/a3rbp,Preregistration Template from AsPredicted.org,discard,False,True,2156
6887663504,10.17605/osf.io/2r45y,,untouched,False,False,0
6944129289,10.17605/osf.io/qf75b,Open-Ended Registration,admit,False,True,96
6887607789,10.17605/osf.io/depz7,OSF-Standard Pre-Data Collection Registration,discard,False,True,146
6887784261,10.17605/osf.io/yrq6p,Preregistration Template from AsPredicted.org,discard,False,True,8347
6887790617,10.17605/osf.io/m2ed8,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6925268220,10.17605/osf.io/6snyf,Prereg Challenge,discard,False,True,3872
6887683341,10.17605/osf.io/kcdmh,Prereg Challenge,discard,False,True,17182
6887783528,10.17605/osf.io/u3sgc,EGAP Registration,discard,False,True,40434
6887674545,10.17605/osf.io/8evf4,,untouched,False,False,0
2779035314,10.17605/osf.io/3f9kr,Open-Ended Registration,admit,False,True,50
6963096279,10.17605/osf.io/sv6bc,OSF-Standard Pre-Data Collection Registration,discard,False,True,467
6906431725,10.17605/osf.io/94mt6,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,4533
6887798420,10.17605/osf.io/b246j,OSF-Standard Pre-Data Collection Registration,discard,False,True,179
7084748685,10.17605/osf.io/uyaz2,,untouched,False,False,0
2781439405,10.17605/osf.io/zdw87,Open-Ended Registration,admit,False,True,97
6906675799,10.17605/osf.io/sy65d,EGAP Registration,discard,False,True,29092
6944122615,10.17605/osf.io/9969g,OSF-Standard Pre-Data Collection Registration,discard,False,True,467
